t,symbol,high,low,open,close,volume
1632110400000,TSLA,247.3333,239.5416,244.8526,243.39,73503156.0
1632196800000,TSLA,248.2466,243.48,244.93,246.46,48359769.0
1632283200000,TSLA,251.2233,246.3733,247.8421,250.6467,45378816.0
1632369600000,TSLA,252.7333,249.3067,251.6667,251.2133,35692581.0
1632456000000,TSLA,258.2667,248.1867,248.63,258.13,63294066.0
1632715200000,TSLA,266.3333,256.4367,257.7067,263.7867,84196821.0
1632801600000,TSLA,265.2133,255.3934,262.4,259.1867,76100166.0
1632888000000,TSLA,264.5,256.8933,259.9333,260.4367,62815731.0
1632974400000,TSLA,263.0435,258.3333,260.3333,258.4933,54639987.0
1633060800000,TSLA,260.26,254.53,259.4667,258.4067,51094242.0
1633320000000,TSLA,268.99,258.7067,265.5,260.51,91450023.0
1633406400000,TSLA,265.77,258.0667,261.5987,260.1967,55297875.0
1633492800000,TSLA,262.22,257.74,258.7333,260.9167,43898304.0
1633579200000,TSLA,268.3333,261.1267,261.82,264.5367,57587346.0
1633665600000,TSLA,265.46,260.3033,265.4033,261.83,51232590.0
1633924800000,TSLA,267.08,261.8333,262.55,263.98,42563466.0
1634011200000,TSLA,270.7733,265.5233,266.9767,268.5733,66058860.0
1634097600000,TSLA,271.8033,268.5933,270.1567,270.36,42360225.0
1634184000000,TSLA,273.4167,271.1167,271.83,272.7733,35894160.0
1634270400000,TSLA,281.07,274.1167,274.5795,281.01,56773701.0
1634529600000,TSLA,291.7533,283.8233,283.93,290.0367,72621732.0
1634616000000,TSLA,292.65,287.5033,292.51,288.09,52130634.0
1634702400000,TSLA,289.83,285.7933,288.45,288.6,42096156.0
1634788800000,TSLA,300.0,285.1682,285.3333,298.0,94444362.0
1634875200000,TSLA,303.3333,296.9867,298.5,303.2267,68642505.0
1635134400000,TSLA,348.34,314.7333,316.8433,341.62,188556294.0
1635220800000,TSLA,364.98,333.8133,341.5633,339.4767,187211904.0
1635307200000,TSLA,356.96,343.5933,346.5533,345.9533,115418847.0
1635393600000,TSLA,360.3333,351.4,356.1017,359.0133,81639519.0
1635480000000,TSLA,371.7367,357.735,360.62,371.3333,89736651.0
1635739200000,TSLA,403.25,372.8867,381.6667,402.8633,168128235.0
1635825600000,TSLA,402.8633,382.0,386.4517,390.6667,128135646.0
1635912000000,TSLA,405.13,384.2067,392.4433,404.62,103877037.0
1635998400000,TSLA,414.4967,405.6667,411.47,409.97,76027230.0
1636084800000,TSLA,413.29,402.6667,409.3333,407.3633,64496736.0
1636347600000,TSLA,399.0,377.6667,383.2617,387.6467,100029345.0
1636434000000,TSLA,391.5,337.1733,391.2,341.1667,177308181.0
1636520400000,TSLA,359.3667,329.1033,336.8033,355.9833,128404407.0
1636606800000,TSLA,368.3233,351.56,367.59,354.5033,67189704.0
1636693200000,TSLA,351.5,339.7333,349.1667,344.4733,76478544.0
1636952400000,TSLA,343.9933,326.2,339.21,337.7967,104326947.0
1637038800000,TSLA,352.4,334.06,334.4367,351.5767,79595877.0
1637125200000,TSLA,373.2133,351.8333,354.5033,363.0033,94336095.0
1637211600000,TSLA,370.6667,358.34,368.85,365.46,62696790.0
1637298000000,TSLA,379.5733,364.2333,366.29,379.02,64926774.0
1637557200000,TSLA,400.65,377.4767,387.4433,385.6233,99215277.0
1637643600000,TSLA,393.5,354.2333,389.17,369.6767,108515100.0
1637730000000,TSLA,377.59,354.0,360.13,372.0,67680714.0
1637902800000,TSLA,369.5942,360.3333,366.49,360.64,34863570.0
1638162000000,TSLA,380.89,366.73,366.9967,378.9967,58393401.0
1638248400000,TSLA,389.3333,372.6667,381.4567,381.5867,81276114.0
1638334800000,TSLA,390.9466,363.5867,386.8983,365.0,68804094.0
1638421200000,TSLA,371.0,352.2167,366.3533,361.5333,73114869.0
1638507600000,TSLA,363.5251,333.4033,361.5967,338.3233,92321985.0
1638766800000,TSLA,340.5467,316.8333,333.8367,336.3367,81663111.0
1638853200000,TSLA,352.558,342.27,348.0667,350.5833,56084571.0
1638939600000,TSLA,357.46,344.3334,350.9033,356.32,41906370.0
1639026000000,TSLA,354.1633,334.12,353.5467,334.6,59438496.0
1639112400000,TSLA,340.3266,327.51,336.25,339.01,59664366.0
1639371600000,TSLA,335.0,317.14,333.6967,322.1367,78595506.0
1639458000000,TSLA,322.1367,310.0,315.0,319.5033,70792767.0
1639544400000,TSLA,326.25,309.4167,317.7367,325.33,72469230.0
1639630800000,TSLA,331.66,307.2833,331.5,308.9733,82771443.0
1639717200000,TSLA,320.22,303.0134,304.9233,310.8567,100880262.0
1639976400000,TSLA,307.2295,297.7967,303.5667,299.98,56471613.0
1640062800000,TSLA,313.1667,295.3733,305.6233,312.8433,71517915.0
1640149200000,TSLA,338.5533,319.0167,321.8867,336.29,93634086.0
1640235600000,TSLA,357.6589,332.52,335.6,355.6667,92643945.0
1640581200000,TSLA,372.3333,356.9051,357.89,364.6467,70722480.0
1640667600000,TSLA,373.0,359.4733,369.83,362.8233,60323907.0
1640754000000,TSLA,368.0,354.7133,366.2133,362.0633,56154045.0
1640840400000,TSLA,365.1833,351.05,353.7767,356.78,47040939.0
1640926800000,TSLA,360.6666,351.53,357.8148,352.26,40733625.0
1641186000000,TSLA,400.3567,378.68,382.5833,399.9267,104686035.0
1641272400000,TSLA,402.6667,374.35,396.5167,383.1967,99798258.0
1641358800000,TSLA,390.1133,360.3367,382.2167,362.7067,80119797.0
1641445200000,TSLA,362.6667,340.1667,359.0,354.9,90324504.0
1641531600000,TSLA,360.31,336.6667,360.1233,342.32,83999748.0
1641790800000,TSLA,353.0333,326.6667,333.3333,352.7067,91814877.0
1641877200000,TSLA,358.6167,346.2733,351.2233,354.8,66045210.0
1641963600000,TSLA,371.6133,357.53,359.6167,368.74,83739015.0
1642050000000,TSLA,371.8667,342.1797,369.6883,343.8533,96909162.0
1642136400000,TSLA,350.6667,337.7929,339.96,349.87,72916011.0
1642482000000,TSLA,356.93,338.6867,342.2017,343.5033,66389409.0
1642568400000,TSLA,351.5566,331.6667,347.235,331.8833,75429288.0
1642654800000,TSLA,347.22,331.3333,336.5767,332.09,70488744.0
1642741200000,TSLA,334.85,313.5,332.1133,314.6333,103236027.0
1643000400000,TSLA,311.171,283.8233,301.5867,310.0,152325642.0
1643086800000,TSLA,317.0867,301.07,304.7333,306.1333,85502706.0
1643173200000,TSLA,329.23,302.0,317.4767,312.47,104867283.0
1643259600000,TSLA,311.7967,276.3333,311.12,276.3667,147106269.0
1643346000000,TSLA,285.8333,264.0033,277.1867,282.1167,134778870.0
1643605200000,TSLA,312.6633,287.35,290.9033,312.24,104253486.0
1643691600000,TSLA,314.5667,301.6667,311.7367,310.4167,73138338.0
1643778000000,TSLA,310.5,296.47,309.3933,301.8867,66791055.0
1643864400000,TSLA,312.3333,293.5067,294.0,297.0467,78855558.0
1643950800000,TSLA,312.1667,293.7233,299.0733,307.7733,73622073.0
1644210000000,TSLA,315.9233,300.903,307.93,302.4467,60244464.0
1644296400000,TSLA,308.7633,298.2667,301.8433,307.3333,50729013.0
1644382800000,TSLA,315.4233,306.6667,311.6667,310.6667,52259544.0
1644469200000,TSLA,314.6033,298.9,302.79,301.5167,66126831.0
1644555600000,TSLA,305.32,283.5667,303.21,286.6667,79640919.0
1644814800000,TSLA,299.6266,284.3833,287.19,291.92,67756416.0
1644901200000,TSLA,307.6667,297.7925,300.0,307.4767,57649542.0
1644987600000,TSLA,308.81,300.4033,304.6833,307.7967,51275046.0
1645074000000,TSLA,306.1666,291.3667,304.42,292.1167,55178418.0
1645160400000,TSLA,295.6233,279.2033,295.3333,285.66,68246841.0
