symbol,date,high,low,open,close,volume
GOOG,2021-10-12,139.695,136.25,139.6375,136.713,22535020.0
GOOG,2021-10-13,138.55,136.9765,137.75,137.9,16393280.0
GOOG,2021-10-14,141.6515,139.339,139.952,141.412,21437560.0
GOOG,2021-10-15,142.2,141.0645,142.2,141.675,21253360.0
GOOG,2021-10-18,142.9988,141.2135,141.2135,142.9605,15567200.0
GOOG,2021-10-19,144.107,143.096,143.2915,143.822,15315840.0
GOOG,2021-10-20,144.2478,141.912,144.2225,142.415,17939500.0
GOOG,2021-10-21,142.8495,141.637,142.192,142.7805,14849920.0
GOOG,2021-10-22,141.5585,137.1705,140.351,138.625,30182640.0
GOOG,2021-10-25,139.2058,136.7485,138.8105,138.773,21081700.0
GOOG,2021-10-26,140.8395,139.0055,140.606,139.672,28258740.0
GOOG,2021-10-27,149.118,139.9025,139.9025,146.4275,51850920.0
GOOG,2021-10-28,147.4245,144.7635,147.299,146.129,32418060.0
GOOG,2021-10-29,148.613,145.1665,145.52,148.2705,28954500.0
GOOG,2021-11-01,148.3995,143.5795,148.165,143.774,32122100.0
GOOG,2021-11-02,146.9205,144.641,144.8094,145.863,21150580.0
GOOG,2021-11-03,146.9105,145.0535,146.275,146.79,17886600.0
GOOG,2021-11-04,149.95,146.635,147.2,148.683,24700800.0
GOOG,2021-11-05,150.5707,148.652,149.3535,149.241,20408140.0
GOOG,2021-11-08,151.0345,149.12,150.0,149.3515,18388140.0
GOOG,2021-11-09,150.3785,147.507,149.746,149.2485,16875560.0
GOOG,2021-11-10,148.7,145.325,148.0098,146.626,22702520.0
GOOG,2021-11-11,148.5023,146.6945,147.107,146.748,12463100.0
GOOG,2021-11-12,149.8595,146.454,147.8315,149.6455,17047660.0
GOOG,2021-11-15,150.477,148.6525,150.0,149.388,16247340.0
GOOG,2021-11-16,149.8325,148.35,149.1705,149.076,17254860.0
GOOG,2021-11-17,149.626,148.563,149.229,149.062,15290820.0
GOOG,2021-11-18,151.61,148.9985,149.146,150.709,26682400.0
GOOG,2021-11-19,151.85,149.8875,151.0,149.9525,19782960.0
GOOG,2021-11-22,150.7445,147.0055,150.1418,147.0785,24627700.0
GOOG,2021-11-23,147.694,144.8895,147.113,146.757,18133140.0
GOOG,2021-11-24,147.0,145.199,146.35,146.7175,16464060.0
GOOG,2021-11-26,145.297,142.4855,145.0155,142.806,16992120.0
GOOG,2021-11-29,146.862,144.2985,144.2985,146.114,26276120.0
GOOG,2021-11-30,146.6285,142.066,145.4503,142.452,41590520.0
GOOG,2021-12-01,146.4991,141.5,144.2125,141.618,28545780.0
GOOG,2021-12-02,144.675,140.982,141.824,143.7765,21250700.0
GOOG,2021-12-03,145.213,141.15,144.4955,142.5205,26687480.0
GOOG,2021-12-06,144.3515,140.647,143.574,143.7965,22197700.0
GOOG,2021-12-07,148.3,145.7025,145.95,148.0365,23258280.0
GOOG,2021-12-08,149.1565,147.2,148.3315,148.7205,18963940.0
GOOG,2021-12-09,149.605,147.529,148.176,148.106,18580600.0
GOOG,2021-12-10,149.4,147.3575,149.1,148.675,21638460.0
GOOG,2021-12-13,148.5625,146.36,148.444,146.7045,24103920.0
GOOG,2021-12-14,145.442,142.2425,144.77,144.9705,24778800.0
GOOG,2021-12-15,147.5173,142.7055,144.366,147.3685,27280960.0
GOOG,2021-12-16,148.5515,144.0925,148.077,144.8385,27399740.0
GOOG,2021-12-17,144.4601,141.788,142.7145,142.803,43404700.0
GOOG,2021-12-20,142.6105,140.25,140.6796,142.4015,20263520.0
GOOG,2021-12-21,144.6921,141.735,143.15,144.2205,19551940.0
GOOG,2021-12-22,147.303,143.963,144.1,146.949,18346480.0
GOOG,2021-12-23,148.5726,146.9508,147.0895,147.1425,13818680.0
GOOG,2021-12-27,148.4265,147.25,147.4635,148.064,13159320.0
GOOG,2021-12-28,148.3745,145.9355,148.3745,146.448,18635840.0
GOOG,2021-12-29,147.1838,145.5045,146.4295,146.5045,17024720.0
GOOG,2021-12-30,147.0625,145.7585,146.45,146.0025,12977020.0
GOOG,2021-12-31,146.365,144.6775,145.544,144.6795,17297700.0
